id,gender,forename,surname,birth_date,death_date,father.forename,father.surname,mother.forename,mother.surname,floruit,study.colleges,arrival,study.degrees.years,degrees,birth_location.country,birth_location.county,birth_location.latitude,birth_location.longitude,birth_location.official_name,birth_location.original_name,references
idp1382666508,M,Walter,Goudy,1740-12-04,1793-01-20,John,Goudie,Katherine,Scott,"[{""occupation"":""Surgeon apothecary"",""location"":{""original_name"":""Edinburgh"",""official_name"":""Edinburgh"",""county"":""Edinburgh"",""country"":""GB"",""latitude"":55.953252,""longitude"":-3.188267},""from"":""1755"",""to"":null},{""occupation"":""Surgeon"",""location"":{""original_name"":""Worcester"",""official_name"":""Worcester"",""county"":""Worcestershire"",""country"":""GB"",""latitude"":52.193636,""longitude"":-2.221575},""from"":""1761"",""to"":""1765""},{""occupation"":""Surgeon"",""location"":{""original_name"":""Plassey"",""official_name"":""Wrexham"",""county"":""Wrexham Principal Area"",""country"":""GB"",""latitude"":53.000555,""longitude"":-2.969688},""from"":""1765"",""to"":""1770""},{""occupation"":""Surgeon"",""location"":{""original_name"":""Horsenden"",""official_name"":""Horsenden"",""county"":""Greater London"",""country"":""GB"",""latitude"":51.5424848,""longitude"":-0.3255921},""from"":""1771"",""to"":""1772""},{""occupation"":""Assistant surgeon"",""location"":{""original_name"":""Bengal"",""official_name"":null,""county"":null,""country"":""IN"",""latitude"":22.9867569,""longitude"":87.8549755},""from"":""1777"",""to"":null}]",null,1774,"[{""name"":""M.A."",""date"":""1774-03-02""},{""name"":""M.D."",""date"":""1774-03-02""}]","M.A., M.D.",GB,Scottish Borders,55.639736,-2.678481,Earlston,Earlston,"[""D.G. Crawford, Roll of the Indian Medical Service, 1615-1930 (London, 1930) B208"",""Fasti ecclesiae scoticanae""]"
idp1367820700,M,John,Bogue,1732,1811-12-30,null,null,null,null,"[{""occupation"":null,""location"":{""original_name"":""London"",""official_name"":""London"",""county"":""Greater London"",""country"":""GB"",""latitude"":51.5072178,""longitude"":-0.1275862},""from"":""1749"",""to"":null},{""occupation"":""Surgeon"",""location"":{""original_name"":""Madras"",""official_name"":""Chennai"",""county"":""Chennai"",""country"":""IN"",""latitude"":13.0826802,""longitude"":80.2707184},""from"":""1757-07-06"",""to"":null},{""occupation"":""Surgeon"",""location"":{""original_name"":""Chennai, India"",""official_name"":""Chennai"",""county"":""Chennai"",""country"":""IN"",""latitude"":13.0826802,""longitude"":80.2707184},""from"":""1757-07-06"",""to"":null}]",null,1776,"[{""name"":""M.A."",""date"":""1776-07-19""},{""name"":""M.D."",""date"":""1776-07-19""}]","M.A., M.D.",null,null,null,null,null,null,"[""Med. Dir. 1780, 1783"",""P.J. Wallis and R.V. Wallis, Eighteenth Century Medics (Newcastle, 1988)"",""Gentleman's Magazine 1811 ii 661 and 1813 ii 507""]"
idp926240f1e80f5ab2e46d48ec22376ab5,M,Henry Bloomfield,Kean,null,1850-11-11,null,null,null,null,"[{""occupation"":""Assistant surgeon"",""location"":{""original_name"":""Bengal"",""official_name"":null,""county"":null,""country"":""IN"",""latitude"":22.9867569,""longitude"":87.8549755},""from"":""1794"",""to"":""1802""}]",null,1800,"[{""name"":""M.A."",""date"":""1800-12-27""},{""name"":""M.D."",""date"":""1800-12-27""}]","M.A., M.D.",null,null,null,null,null,null,"[""D.G. Crawford, Roll of the Indian Medical Service, 1615-1930 (London, 1930) B434""]"
idp1420665356,M,Henry,Young,1782,1844-09-22,null,null,null,null,"[{""occupation"":""Assistant surgeon"",""location"":{""original_name"":""Bengal"",""official_name"":null,""county"":null,""country"":""IN"",""latitude"":22.9867569,""longitude"":87.8549755},""from"":""1802"",""to"":null}]",null,1802,"[{""name"":""M.A."",""date"":""1802-02-27""},{""name"":""M.D."",""date"":""1802-02-27""}]","M.A., M.D.",,null,null,null,null,null,"[""D.G. Crawford, Roll of the Indian Medical Service, 1615-1930 (London, 1930) B 529""]"
R_0088_Ramsay_George.xml,M,George,Ramsay,1700,1726-07-01,null,null,null,null,"[{""occupation"":""Surgeon"",""location"":{""original_name"":""Madras"",""official_name"":""Chennai"",""county"":""Chennai"",""country"":""IN"",""latitude"":13.0826802,""longitude"":80.2707184},""from"":""1726-07-01"",""to"":null}]","[{""name"":""St Leonardâ€™s College"",""from"":""1713""}]",1713,"[{""name"":""M.D."",""date"":""1726-06-17""}]",M.D.,GB,Perth and Kinross,56.648523,-3.270963,Alyth,Bamff,"[""UC110"",""SL516.1717/18B"",""UY452:17.6.1726"",""Innes Smith"",""Johnston, IMS, Â M63""]"
idp1412013188,M,James,Stark,1749-01-11,null,Thomas,Stark,Helen,Bruce,"[{""occupation"":""Assistant surgeon"",""location"":{""original_name"":""Bengal"",""official_name"":null,""county"":null,""country"":""IN"",""latitude"":22.9867569,""longitude"":87.8549755},""from"":""1773"",""to"":null}]","[{""name"":""United College"",""from"":""1764"",""to"":""1768""}]",1764,"[{""name"":""M.D."",""date"":""1783-12-01""}]",M.D.,GB,Fife,56.410656,-3.042739,Balmerino,Balmerino,"[""UYUC110 Wilkie"",""UYUC400:5.2.1765, 6.4.1767"",""D.G. Crawford, Roll of the Indian Medical Service, 1615-1930 (London, 1930) B 195""]"
idp1398229572,M,James,Meek,1758-01-10,1837-04-25,Patrick,Meek,Jean,Mackie,"[{""occupation"":""Assistant surgeon"",""location"":{""original_name"":""Mumbai, India"",""official_name"":""Mumbai"",""county"":""Mumbai"",""country"":""IN"",""latitude"":19.0759837,""longitude"":72.8776559},""from"":""1783"",""to"":null}]","[{""name"":""United College"",""from"":""1772"",""to"":""1774""}]",1772,"[{""name"":""M.D."",""date"":""1783-07-07""}]",M.D.,GB,Perth and Kinross,56.4024869,-3.4178109,Perth,Kinnoul,"[""UYUC400:7.4.1774"",""Fasti ecclesiae scoticanae"",""D.G. Crawford, Roll of the Indian Medical Service, 1615-1930 (London, 1930) B 322""]"
idp1395294460,M,Alexander,MacKenzie,1766-02-06,1842-12-22,Kenneth,McKenzie,Janet,Douglas,"[{""occupation"":""Assistant surgeon"",""location"":{""original_name"":""Chennai, India"",""official_name"":""Chennai"",""county"":""Chennai"",""country"":""IN"",""latitude"":13.0826802,""longitude"":80.2707184},""from"":""1788"",""to"":null}]","[{""name"":""United College"",""from"":""1781"",""to"":""1785""}]",1781,"[{""name"":""M.D."",""date"":""1803-03-12""}]",M.D.,AU,Somerset,-26.9430777,152.5641511,Kilcoy,Kilcoy,"[""UYUC400:6.11.1781"",""D.G. Crawford, Roll of the Indian Medical Service, 1615-1930 (London, 1930) M 295""]"
idp1395493692,M,Roderick,Mackenzie,1853-12-11,1857-05-25,John,Mackenzie,Mary,Mackenzie,"[{""occupation"":""Assistant surgeon"",""location"":{""original_name"":""Mumbai, India"",""official_name"":""Mumbai"",""county"":""Mumbai"",""country"":""IN"",""latitude"":19.0759837,""longitude"":72.8776559},""from"":""1856"",""to"":null}]","[{""name"":""United College"",""from"":""1850"",""to"":""1851""}]",1850,"[{""name"":""M.D."",""date"":""1854-05-06""}]",M.D.,GB,Highland Council,58.0047258,-4.139955,Rogart,Rogart,"[""United College prize list"",""Census 1851 St Andrews"",""D.G. Crawford, Roll of the Indian Medical Service, 1615-1930 (London, 1930) Bo 904""]"
idp1416295716,M,George,Ure,1764-04-08,1806-12-11,John,Ure,Margaret,Campbell,"[{""occupation"":""Assistant surgeon"",""location"":{""original_name"":""Bengal"",""official_name"":null,""county"":null,""country"":""IN"",""latitude"":22.9867569,""longitude"":87.8549755},""from"":""1792"",""to"":null}]",null,1784,"[{""name"":""M.D."",""date"":""1784-12-25""}]",M.D.,GB,Angus Council,56.643558,-2.889062,Forfar,Forfar,"[""D.G. Crawford, Roll of the Indian Medical Service, 1615-1930 (London, 1930) B 1416"",""Edin. Ann. Reg. 1825 p320""]"
idp1375994340,M,Thomas,Davis,null,1788-04-24,null,null,null,null,"[{""occupation"":""Surgeon"",""location"":{""original_name"":""Chennai, India"",""official_name"":""Chennai"",""county"":""Chennai"",""country"":""IN"",""latitude"":13.0826802,""longitude"":80.2707184},""from"":""1763"",""to"":null}]",null,1787,"[{""name"":""M.D."",""date"":""1787-05-19""}]",M.D.,null,null,null,null,null,null,"[""D.G. Crawford, Roll of the Indian Medical Service, 1615-1930 (London, 1930) M135"",""Gentleman's Magazine 1789 p488""]"
idp1410199076,M,David,Simpson,1747,null,null,null,null,null,"[{""occupation"":""Assistant surgeon"",""location"":{""original_name"":""Chennai, India"",""official_name"":""Chennai"",""county"":""Chennai"",""country"":""IN"",""latitude"":13.0826802,""longitude"":80.2707184},""from"":""1776"",""to"":null}]",null,1787,"[{""name"":""M.D."",""date"":""1787-09-18""}]",M.D.,null,null,null,null,null,null,"[""D.G. Crawford, Roll of the Indian Medical Service, 1615-1930 (London, 1930) M 202""]"
idp1390782804,M,John,Laird,null,null,null,null,null,null,"[{""occupation"":""Surgeon"",""location"":{""original_name"":""Canton"",""official_name"":""Guangzhou"",""county"":null,""country"":""CN"",""latitude"":23.1290799,""longitude"":113.26436},""from"":""1763"",""to"":""1769""},{""occupation"":""Surgeon"",""location"":{""original_name"":""Bengal"",""official_name"":null,""county"":null,""country"":""IN"",""latitude"":22.9867569,""longitude"":87.8549755},""from"":""1769"",""to"":null}]",null,1788,"[{""name"":""M.D."",""date"":""1788-01-19""}]",M.D.,null,null,null,null,null,null,"[""D.G. Crawford, Roll of the Indian Medical Service, 1615-1930 (London, 1930) B 90""]"
idp1411841644,M,William,Spink,null,1798-05-20,null,null,null,null,"[{""occupation"":""Surgeon"",""location"":{""original_name"":""Mumbai, India"",""official_name"":""Mumbai"",""county"":""Mumbai"",""country"":""IN"",""latitude"":19.0759837,""longitude"":72.8776559},""from"":""1778"",""to"":null}]",null,1788,"[{""name"":""M.D."",""date"":""1788-07-30""}]",M.D.,null,null,null,null,null,null,"[""D.G. Crawford, Roll of the Indian Medical Service, 1615-1930 (London, 1930) Bo 195""]"
idp1387023684,M,Thomas,Howell,1752,1814-12-00,null,null,null,null,"[{""occupation"":""Assistant surgeon"",""location"":{""original_name"":""Chennai, India"",""official_name"":""Chennai"",""county"":""Chennai"",""country"":""IN"",""latitude"":13.0826802,""longitude"":80.2707184},""from"":""1776"",""to"":null}]",null,1789,"[{""name"":""M.D."",""date"":""1789-03-28""}]",M.D.,null,null,null,null,null,null,"[""D.G. Crawford, Roll of the Indian Medical Service, 1615-1930 (London, 1930) M 204"",""Gentleman's Magazine 1814 ii 611, 1832 ii 486""]"
idp1367001404,M,George,Binny,null,1793-05-20,null,null,null,null,"[{""occupation"":""Assistant surgeon"",""location"":{""original_name"":""Chennai, India"",""official_name"":""Chennai"",""county"":""Chennai"",""country"":""IN"",""latitude"":13.0826802,""longitude"":80.2707184},""from"":""1770"",""to"":null},{""occupation"":""Head surgeon"",""location"":{""original_name"":""Machilipatnam, India"",""official_name"":""Machilipatnam"",""county"":""Krishna"",""country"":""IN"",""latitude"":16.1808917,""longitude"":81.1302716},""from"":""1788"",""to"":null}]",null,1790,"[{""name"":""M.D."",""date"":""1790""}]",M.D.,null,null,null,null,null,null,"[""D.G. Crawford, Roll of the Indian Medical Service, 1615-1930 (London, 1930) M182""]"
idp1416542052,M,John Peter,Wade,1762,1802-10-14,null,null,null,null,"[{""occupation"":""Assistant surgeon"",""location"":{""original_name"":""Bengal"",""official_name"":null,""county"":null,""country"":""IN"",""latitude"":22.9867569,""longitude"":87.8549755},""from"":""1782"",""to"":null}]",null,1790,"[{""name"":""M.D."",""date"":""1790-03-08""}]",M.D.,null,null,null,null,null,null,"[""D.G. Crawford, Roll of the Indian Medical Service, 1615-1930 (London, 1930) B 276""]"
idp1398235244,M,Sutherland,Meek,1766-07-12,1824-04-15,Robert,Meek,Charlot,Coupar,"[{""occupation"":""Casualty Clearing Station"",""location"":{""original_name"":""Mumbai, India"",""official_name"":""Mumbai"",""county"":""Mumbai"",""country"":""IN"",""latitude"":19.0759837,""longitude"":72.8776559},""from"":""1789"",""to"":null}]",null,1892,"[{""name"":""M.D."",""date"":""1792-02-20""}]",M.D.,GB,Edinburgh,55.953252,-3.188267,Edinburgh,Edinburgh,"[""D.G. Crawford, Roll of the Indian Medical Service, 1615-1930 (London, 1930) Bo 246"",""Dundee Advertiser 29.4.1824""]"
idp1385265604,M,John,Hay,null,1842-12-29,null,null,null,null,"[{""occupation"":""Assistant surgeon"",""location"":{""original_name"":""Chennai, India"",""official_name"":""Chennai"",""county"":""Chennai"",""country"":""IN"",""latitude"":13.0826802,""longitude"":80.2707184},""from"":""1797"",""to"":null}]",null,1892,"[{""name"":""M.D."",""date"":""1792-12-19""}]",M.D.,null,null,null,null,null,null,null
idp1389618412,M,George,Keir,1772-01-15,1818-08-23,Laurence,Keir,Marion,Paterson,"[{""occupation"":""Assistant surgeon"",""location"":{""original_name"":""Bombay"",""official_name"":""Mumbai"",""county"":""Mumbai"",""country"":""IN"",""latitude"":19.0759837,""longitude"":72.8776559},""from"":""1797"",""to"":""1812""}]",null,1896,"[{""name"":""M.D."",""date"":""1796-08-31""}]",M.D.,GB,Perth and Kinross,56.364234,-3.484641,Aberdalgie,Aberdalgie,"[""Gentleman's Magazine 1818 ii 378, 1840 i 557"",""D.G. Crawford, Roll of the Indian Medical Service, 1615-1930 (London, 1930) Bo 269"",""Monumental inscription, Tibbermore""]"
idp1387049916,M,James,Howieson,null,1807-5-00,null,null,null,null,"[{""occupation"":""Assistant surgeon"",""location"":{""original_name"":""Bengal"",""official_name"":null,""county"":null,""country"":""IN"",""latitude"":22.9867569,""longitude"":87.8549755},""from"":""1783"",""to"":null}]",null,1800,"[{""name"":""M.D."",""date"":""1800-08-15""}]",M.D.,null,null,null,null,null,null,"[""D.G. Crawford, Roll of the Indian Medical Service, 1615-1930 (London, 1930) B 364""]"
idp1404225132,M,George,Phillott,1780,1823-02-14,null,null,null,null,"[{""occupation"":""Assistant surgeon"",""location"":{""original_name"":""Bengal"",""official_name"":null,""county"":null,""country"":""IN"",""latitude"":22.9867569,""longitude"":87.8549755},""from"":""1802"",""to"":null}]",null,1802,"[{""name"":""M.D."",""date"":""1802-03-20""}]",M.D.,null,null,null,null,null,null,"[""P.J. Wallis and R.V. Wallis, Eighteenth Century Medics (Newcastle, 1988)"",""D.G. Crawford, Roll of the Indian Medical Service, 1615-1930 (London, 1930) B 524""]"
idp1403895524,M,James Baillie,Pender,1782-03-27,1817-08-20,Thomas,Pender,Helen,Mann,"[{""occupation"":""Assistant surgeon"",""location"":{""original_name"":""Chennai, India"",""official_name"":""Chennai"",""county"":""Chennai"",""country"":""IN"",""latitude"":13.0826802,""longitude"":80.2707184},""from"":""1802"",""to"":null}]",null,1803,"[{""name"":""M.D."",""date"":""1803-01-20""}]",M.D.,null,null,null,null,null,null,"[""SRS Reg. Edin. App."",""D.G. Crawford, Roll of the Indian Medical Service, 1615-1930 (London, 1930) M 482"",""Scotsman 14.3.1818""]"
idp1408270724,M,Henry William,Rumsay,null,1806-11-01,null,null,null,null,"[{""occupation"":""Assistant surgeon"",""location"":{""original_name"":""Chennai, India"",""official_name"":""Chennai"",""county"":""Chennai"",""country"":""IN"",""latitude"":13.0826802,""longitude"":80.2707184},""from"":""1805"",""to"":null}]",null,1805,"[{""name"":""M.D."",""date"":""1805-03-16""}]",M.D.,null,null,null,null,null,null,"[""D.G. Crawford, Roll of the Indian Medical Service, 1615-1930 (London, 1930) M511""]"
idp1393725556,M,James,Mâ€™Donald,1784,1806-11-27,Colin,Mâ€™Donald,null,null,"[{""occupation"":""Assistant surgeon"",""location"":{""original_name"":""Madras"",""official_name"":""Chennai"",""county"":""Chennai"",""country"":""IN"",""latitude"":13.0826802,""longitude"":80.2707184},""from"":""1804"",""to"":null},{""occupation"":""Assistant surgeon"",""location"":{""original_name"":""Chennai, India"",""official_name"":""Chennai"",""county"":""Chennai"",""country"":""IN"",""latitude"":13.0826802,""longitude"":80.2707184},""from"":""1804"",""to"":null}]",null,1805,"[{""name"":""M.D."",""date"":""1805-06-29""}]",M.D.,null,null,null,null,null,null,"[""D.G. Crawford, Roll of the Indian Medical Service, 1615-1930 (London, 1930) M 502"",""Scots Magazine 1807 p717""]"
idp1373537948,M,Patrick,Conry,null,null,null,null,null,null,"[{""occupation"":""surgeon"",""location"":{""original_name"":""India"",""official_name"":null,""county"":null,""country"":""IN"",""latitude"":20.593684,""longitude"":78.96288},""from"":""1795"",""to"":null}]",null,1805,"[{""name"":""M.D."",""date"":""1805-11-25""}]",M.D.,null,null,null,null,null,null,null
idp1413807508,M,John,Swiney,1780,1870-12-24,null,null,null,null,"[{""occupation"":""Assistant surgeon"",""location"":{""original_name"":""Bengal"",""official_name"":null,""county"":null,""country"":""IN"",""latitude"":22.9867569,""longitude"":87.8549755},""from"":""1801"",""to"":null}]",null,1811,"[{""name"":""M.D."",""date"":""1811-10-12""}]",M.D.,null,null,null,null,null,null,"[""D.G. Crawford, Roll of the Indian Medical Service, 1615-1930 (London, 1930) B 518""]"
idp1409603372,M,George Grinley,Sharp,1791-08-11,1818-11-24,null,null,Nancy,null,"[{""occupation"":""Assistant surgeon"",""location"":{""original_name"":""Mumbai, India"",""official_name"":""Mumbai"",""county"":""Mumbai"",""country"":""IN"",""latitude"":19.0759837,""longitude"":72.8776559},""from"":""1813"",""to"":null}]",null,1813,"[{""name"":""M.D."",""date"":""1813-02-06""}]",M.D.,GB,Greater London,51.5072178,-0.1275862,London,London,"[""D.G. Crawford, Roll of the Indian Medical Service, 1615-1930 (London, 1930) Bo 402""]"
idp1397245508,M,William,Malcolm,1788-01-05,1854-10-20,John,Malcolm,Janet,Morrice,"[{""occupation"":""Assistant surgeon"",""location"":{""original_name"":""Bengal"",""official_name"":null,""county"":null,""country"":""IN"",""latitude"":22.9867569,""longitude"":87.8549755},""from"":""1809"",""to"":null},{""occupation"":""Assistant surgeon"",""location"":{""original_name"":""Perth"",""official_name"":""Perth"",""county"":""Perth and Kinross"",""country"":""GB"",""latitude"":56.394994,""longitude"":-3.430838},""from"":""1816"",""to"":null}]",null,1813,"[{""name"":""M.D."",""date"":""1813-08-07""}]",M.D.,GB,Fife,56.0551806,-3.6298127,Culross,Culross,"[""W.I. Addison, Matriculation albums of the University of Glasgow 1728-1858"",""D.G. Crawford, Roll of the Indian Medical Service, 1615-1930 (London, 1930) B 660""]"
idp1420647172,M,Ebenezer,Young,1788-12-16,1816-07-22,null,null,null,null,"[{""occupation"":""Assistant surgeon"",""location"":{""original_name"":""Mumbai, India"",""official_name"":""Mumbai"",""county"":""Mumbai"",""country"":""IN"",""latitude"":19.0759837,""longitude"":72.8776559},""from"":""1810"",""to"":null}]",null,1813,"[{""name"":""M.D."",""date"":""1813-11-06""}]",M.D.,null,null,null,null,null,null,"[""D.G. Crawford, Roll of the Indian Medical Service, 1615-1930 (London, 1930) Bo 384""]"
idp1401417924,M,Patrick,Muschet,1764-02-26,1835,John,Muschet,Anna,Graham,"[{""occupation"":""Assistant surgeon"",""location"":{""original_name"":""Bengal"",""official_name"":null,""county"":null,""country"":""IN"",""latitude"":22.9867569,""longitude"":87.8549755},""from"":""1794"",""to"":""1805""}]",null,1815,"[{""name"":""M.D."",""date"":""1815-04-01""}]",M.D.,GB,Stirling,56.1165227,-3.9369029,Stirling,Stirling,"[""W.I. Addison, Matriculation albums of the University of Glasgow 1728-1858"",""D.G. Crawford, Roll of the Indian Medical Service, 1615-1930 (London, 1930) B 437"",""Lisa Rosner, Medical education in the age of improvement p21"",""Barbara L. H. Horn, Ramsay of Ochtertyre letters p260""]"
idp1396954204,M,John,Macwhirter,1780-8-00,1853-12-13,null,null,null,null,"[{""occupation"":""Assistant surgeon"",""location"":{""original_name"":""Bengal"",""official_name"":null,""county"":null,""country"":""IN"",""latitude"":22.9867569,""longitude"":87.8549755},""from"":""1803"",""to"":""1825""},{""occupation"":""President"",""location"":{""original_name"":""Royal College of Physicians of Edinburgh"",""official_name"":""Edinburgh"",""county"":""Edinburgh"",""country"":""GB"",""latitude"":55.9550133,""longitude"":-3.1967551},""from"":""1831"",""to"":""1833""}]",null,1816,"[{""name"":""M.D."",""date"":""1816-01-06""}]",M.D.,null,null,null,null,null,null,"[""D.G. Crawford, Roll of the Indian Medical Service, 1615-1930 (London, 1930) B 535"",""Gentleman's Magazine 1853 ii 322"",""RSE - 100 med. Fellows""]"
idp1402714764,M,William,Ord,null,1818-05-23,null,null,null,null,"[{""occupation"":""Assistant surgeon"",""location"":{""original_name"":""Chennai, India"",""official_name"":""Chennai"",""county"":""Chennai"",""country"":""IN"",""latitude"":13.0826802,""longitude"":80.2707184},""from"":""1791"",""to"":null}]",null,1816,"[{""name"":""M.D."",""date"":""1816-12-07""}]",M.D.,null,null,null,null,null,null,"[""D.G. Crawford, Roll of the Indian Medical Service, 1615-1930 (London, 1930) M 342""]"
idp1402549532,M,Walter,Ogilvie,1794-10-16,1818-09-30,Thomas,Ogilvy,Mary Margaret,Roberts,"[{""occupation"":""Assistant surgeon"",""location"":{""original_name"":""Chennai, India"",""official_name"":""Chennai"",""county"":""Chennai"",""country"":""IN"",""latitude"":13.0826802,""longitude"":80.2707184},""from"":""1814"",""to"":null}]",null,1817,"[{""name"":""M.D."",""date"":""1817-04-14""}]",M.D.,GB,Angus Council,56.675117,-3.003501,Kirriemuir,Kirriemuir,"[""Fasti ecclesiae scoticanae"",""D.G. Crawford, Roll of the Indian Medical Service, 1615-1930 (London, 1930) M 636""]"
idp1407992716,M,Andrew,Ross,1796-02-20,1864-02-12,John,Ross,Margaret,Manson,"[{""occupation"":""Assistant surgeon"",""location"":{""original_name"":""Bengal"",""official_name"":null,""county"":null,""country"":""IN"",""latitude"":22.9867569,""longitude"":87.8549755},""from"":""1817"",""to"":null}]",null,1817,"[{""name"":""M.D."",""date"":""1817-04-18""}]",M.D.,GB,Perth and Kinross,56.394994,-3.430838,Perth,Perth,"[""Med. Dir."",""D.G. Crawford, Roll of the Indian Medical Service, 1615-1930 (London, 1930) B 800""]"
idp1411897252,M,Samuel,Sproule,1774,1829-05-31,null,null,null,null,"[{""occupation"":""Assistant Surgeon"",""location"":{""original_name"":""Mumbai, India"",""official_name"":""Mumbai"",""county"":""Mumbai"",""country"":""IN"",""latitude"":19.0759837,""longitude"":72.8776559},""from"":""1797"",""to"":null}]",null,1818,"[{""name"":""M.D."",""date"":""1818-07-04""}]",M.D.,null,null,null,null,null,null,"[""D.G. Crawford, Roll of the Indian Medical Service, 1615-1930 (London, 1930) Bo 282""]"
idp1369348108,M,Robert,Brown,1790-07-01,1853-03-15,null,null,null,null,"[{""occupation"":""Assistant surgeon"",""location"":{""original_name"":""Bengal"",""official_name"":null,""county"":null,""country"":""IN"",""latitude"":22.9867569,""longitude"":87.8549755},""from"":""1811-08-16"",""to"":null}]",null,1819,"[{""name"":""M.D."",""date"":""1819-01-02""}]",M.D.,null,null,null,null,null,null,"[""D.G. Crawford, Roll of the Indian Medical Service, 1615-1930 (London, 1930) B684""]"
idp1415513108,M,John Forrest,Todd,1799-04-04,1821-09-05,James,Todd,Elizabeth,Moir,"[{""occupation"":""Assistant surgeon"",""location"":{""original_name"":""Bengal"",""official_name"":null,""county"":null,""country"":""IN"",""latitude"":22.9867569,""longitude"":87.8549755},""from"":""1820"",""to"":null}]",null,1819,"[{""name"":""M.D."",""date"":""1819-12-23""}]",M.D.,null,null,null,null,null,null,"[""D.G. Crawford, Roll of the Indian Medical Service, 1615-1930 (London, 1930) B 874"",""Dundee Advertiser 21.2.1822""]"
idp1388987884,M,James,Johnston,1797,1846-04-06,null,null,null,null,"[{""occupation"":""Assistant surgeon"",""location"":{""original_name"":""Bengal"",""official_name"":null,""county"":null,""country"":""IN"",""latitude"":22.9867569,""longitude"":87.8549755},""from"":""1820"",""to"":null}]",null,1820,"[{""name"":""M.D."",""date"":""1820-01-24""}]",M.D.,null,null,null,null,null,null,"[""D.G. Crawford, Roll of the Indian Medical Service, 1615-1930 (London, 1930) B866""]"
idp1405357388,M,Andrew F[orbes],Ramsay,1784-07-12,1829-02-09,Andrew,Ramsay,Elizabeth,Henry,"[{""occupation"":""Assistant surgeon"",""location"":{""original_name"":""Bengal"",""official_name"":null,""county"":null,""country"":""IN"",""latitude"":22.9867569,""longitude"":87.8549755},""from"":""1805"",""to"":null}]",null,1820,"[{""name"":""M.D."",""date"":""1820-03-16""}]",M.D.,GB,Edinburgh,55.953252,-3.188267,Edinburgh,Edinburgh,"[""D.G. Crawford, Roll of the Indian Medical Service, 1615-1930 (London, 1930) B 564"",""Gentleman's Magazine 1854 ii 531""]"
idp1395527548,M,William,Mackenzie,1785,1866-03-02,null,null,null,null,"[{""occupation"":""Assistant surgeon"",""location"":{""original_name"":""Madras"",""official_name"":""Chennai"",""county"":""Chennai"",""country"":""IN"",""latitude"":13.0826802,""longitude"":80.2707184},""from"":""1803"",""to"":null},{""occupation"":""Assistant surgeon"",""location"":{""original_name"":""Chennai, India"",""official_name"":""Chennai"",""county"":""Chennai"",""country"":""IN"",""latitude"":13.0826802,""longitude"":80.2707184},""from"":""1830"",""to"":null}]",null,1820,"[{""name"":""M.D."",""date"":""1820-09-02""}]",M.D.,null,null,null,null,null,null,"[""D.G. Crawford, Roll of the Indian Medical Service, 1615-1930 (London, 1930) M 492""]"
idp1405064564,M,David,Pullar,1798-02-05,1825-11-03,James,Pullar,Anne,Smith,"[{""occupation"":""Surgeonâ€™s Mate"",""location"":{""original_name"":""Waterloo"",""official_name"":""Waterloo"",""county"":""BW"",""country"":""BE"",""latitude"":50.7147661,""longitude"":4.3991201},""from"":""1819"",""to"":""1820""},{""occupation"":""Assistant surgeon"",""location"":{""original_name"":""Bengal"",""official_name"":null,""county"":null,""country"":""IN"",""latitude"":22.9867569,""longitude"":87.8549755},""from"":""1821-02-10"",""to"":null}]",null,1821,"[{""name"":""M.D."",""date"":""1821-08-04""}]",M.D.,GB,Dundee City Council,56.462018,-2.970721,Dundee,Dundee,"[""D.G. Crawford, Roll of the Indian Medical Service, 1615-1930 (London, 1930) B 898""]"
idp1383364732,M,William Lewis,Grant,1772,1825-09-08,null,null,null,null,"[{""occupation"":""Assistant surgeon"",""location"":{""original_name"":""Bengal"",""official_name"":null,""county"":null,""country"":""IN"",""latitude"":22.9867569,""longitude"":87.8549755},""from"":""1797"",""to"":null}]",null,1821,"[{""name"":""M.D."",""date"":""1821-10-06""}]",M.D.,null,null,null,null,null,null,"[""D.G. Crawford, Roll of the Indian Medical Service, 1615-1930 (London, 1930) B 475""]"
idp1420551204,M,Edward J[ordan],Yeatman,1797-09-10,null,null,null,null,null,"[{""occupation"":""medical student"",""location"":{""original_name"":""Edinburgh University"",""official_name"":""Edinburgh"",""county"":""Edinburgh"",""country"":""GB"",""latitude"":55.9445158,""longitude"":-3.1892413},""from"":""1818"",""to"":""1819""},{""occupation"":""Assistant surgeon"",""location"":{""original_name"":""Bengal"",""official_name"":null,""county"":null,""country"":""IN"",""latitude"":22.9867569,""longitude"":87.8549755},""from"":""1822"",""to"":null}]",null,1822,"[{""name"":""M.D."",""date"":""1822-03-02""}]",M.D.,US,Philadelphia County,39.9525839,-75.1652215,Philadelphia,Philadelphia,"[""UYUY452/13/136"",""D.G. Crawford, Roll of the Indian Medical Service, 1615-1930 (London, 1930) B 934"",""Gentleman's Magazine 1836 ii 205""]"
idp1378147596,M,Samuel,Dyer,1781,1845-12-13,null,null,null,null,"[{""occupation"":""Assistant surgeon"",""location"":{""original_name"":""Chennai, India"",""official_name"":""Chennai"",""county"":""Chennai"",""country"":""IN"",""latitude"":13.0826802,""longitude"":80.2707184},""from"":""1801"",""to"":null}]",null,1822,"[{""name"":""M.D."",""date"":""1822-08-03""}]",M.D.,null,null,null,null,null,null,"[""D.G. Crawford, Roll of the Indian Medical Service, 1615-1930 (London, 1930) M465"",""Times 15.12.1845 deaths col.""]"
